#"time"	"Top model:Y_0.masse"	"Top model:Y_1.masse"	"Top model:Y_2.masse"	"Top model:Y_3.masse"	"Top model:Y_4.masse"	"Top model:Y_5.masse"	"Top model:Y_6.masse"	"Top model:Y_7.masse"	"Top model:Y_8.masse"	"Top model:Y_9.masse"	"Top model:Controleur.masse"	
0	0	0	0	0	0	0	0	0	0	0	NA
1	0.0418649634539715	0.0224684808019996	0.0394027325880559	0.0400650032335898	0.0449381393597522	0.0137801899842175	0.0198651752338224	0.038760367425021	0.0173305826041253	0.0294566083755825	NA
2	0.0820558483174281	0.044475601527549	0.07732715004679	0.0786002320332638	0.0879408016108151	0.0273975054262243	0.0393743148230734	0.0760914918397224	0.0343946129240208	0.0581019069782889	NA
3	0.120523197328501	0.0659660303009122	0.113718646542453	0.115552318466055	0.128967135348254	0.0408134756857581	0.0584762233007063	0.111937667394838	0.0511457219572255	0.0858743895965944	NA
4	0.157378534391759	0.0869731239238583	0.148674811959218	0.151022467590841	0.168148018633673	0.054044387548867	0.0771982929783585	0.146393068549047	0.0676062364498467	0.112827982362061	NA
5	0.192654851254991	0.107487450760692	0.182219350689076	0.18503675517207	0.205529898899011	0.0670798356050845	0.0955299105944201	0.179479186848642	0.083765163588629	0.138961061047406	NA
6	0.226487440691134	0.127560697869223	0.214473753357521	0.217720280075594	0.241266828661647	0.0799484322310184	0.113515172840876	0.21131408484458	0.0996598032107528	0.164349358510711	NA
7	0.258902242320248	0.147182483259011	0.245455997663727	0.249093055314151	0.275396236445683	0.0926395208713378	0.131142800642742	0.241913839606895	0.115278706134514	0.188989065383132	NA
8	0.289958669929431	0.166362960627779	0.275216259297358	0.279207647576592	0.307990431957882	0.105155550051385	0.148419905511331	0.271326372721756	0.130626655779268	0.212902254348887	NA
9	0.3197136475128	0.185112055309294	0.303802734949286	0.308114515401845	0.339118472262861	0.117498934521805	0.165353457546527	0.299597746494251	0.145708352582655	0.236110347264614	NA
10	0.348249615225185	0.203457588956442	0.331288630036762	0.335889276757526	0.368875356394097	0.129684144415658	0.181966718796873	0.326798875931566	0.160543106077058	0.258656322427547	NA
11	0.375561853636714	0.221372398852299	0.357663533641925	0.362522967908048	0.397264665228673	0.141689184193016	0.198233197103994	0.352918005113847	0.175105818906731	0.280515326657519	NA
12	0.401729545939067	0.238884291829791	0.38299817447988	0.388088533700139	0.424376963469113	0.153528627791547	0.214176218746701	0.378023753770086	0.189415901009925	0.301729803820785	NA
13	0.42680065545829	0.256002329779278	0.407333581956498	0.412628810546328	0.450269693727602	0.165204759426462	0.229802215615894	0.402155439447335	0.203477734968697	0.322318758220347	NA
14	0.450821135570265	0.272735370782709	0.430709167220994	0.436184916935099	0.474997714727268	0.17671983180476	0.245117491705211	0.425350854234569	0.21729562733704	0.34230063380488	NA
15	0.473835013929631	0.289092073697422	0.453162786992219	0.458796322327019	0.498613417530934	0.188076066559851	0.260128225654253	0.447646323948029	0.230873809959799	0.361693330691139	NA
16	0.495884473169027	0.305080902636841	0.474730804867537	0.480500913287833	0.521166836541641	0.199275654680181	0.274840473241227	0.469076765020261	0.244216441268708	0.380514221199208	NA
17	0.517009928216579	0.320710131350442	0.495448150213655	0.501335056969386	0.542705755510186	0.210320756931967	0.28926016982606	0.489675739181993	0.257327607555968	0.398780165414957	NA
18	0.53725010037318	0.335987847505086	0.515348374734553	0.52133366204453	0.563275808774062	0.221213504276018	0.303393132744813	0.509475506022291	0.270211324225643	0.41650752629351	NA
19	0.556623108009408	0.350907191805731	0.534444973123277	0.540511430422548	0.582901381341173	0.23194533014425	0.317231350231938	0.528488415639863	0.282858987154722	0.433695235581603	NA
20	0.575203251056681	0.365505754421316	0.552807108879198	0.558938894730897	0.601663351135202	0.242539790538894	0.330808110108894	0.546782312578773	0.295299791088871	0.450393102732005	NA
21	0.593004775006086	0.379775984897413	0.570445016541654	0.576627338608013	0.619581368216839	0.252988112129286	0.344114897999265	0.564366435513583	0.307524774703507	0.466598622325242	NA
22	0.610060308653753	0.393725267659232	0.587387260670797	0.593606399945939	0.636693395347381	0.263292310737779	0.357157082258548	0.581268322542848	0.319537682001876	0.482326311551735	NA
23	0.626401113454143	0.407360821050967	0.603661279200925	0.609904528030006	0.653035687643581	0.273454374380702	0.369939924493238	0.597514443330853	0.331342192037085	0.49759025955303	NA
24	0.642057140819842	0.420689701071074	0.619293427876162	0.625549031207062	0.668642869391075	0.283476263651906	0.382468581683514	0.613130240561153	0.342941920038833	0.512404140043099	NA
25	0.657057087020145	0.43371880502355	0.634309022933544	0.640566122642012	0.683548007402587	0.29335991210103	0.39474810826372	0.628140169781788	0.354340418520621	0.5267812235575	NA
26	0.671428445779071	0.446454875087074	0.648732382102618	0.654980964239306	0.697782681076319	0.303107226606544	0.406783458161476	0.642567737704566	0.365541178367726	0.540734389341349	NA
27	0.685197558669193	0.458904501803897	0.662586863987955	0.668817708803	0.711377049302975	0.312720087743652	0.418579486796235	0.656435539018395	0.376547629906318	0.554276136886777	NA
28	0.698389663393677	0.471074127490248	0.675894905898381	0.682099540506023	0.72435991436317	0.322200350147111	0.43014095303811	0.669765291774307	0.387363143954026	0.567418597130197	NA
29	0.71102894004502	0.482970049570046	0.688678060184149	0.694848713736427	0.736758782950581	0.331549842869054	0.441472521127742	0.682577871397627	0.397991032852281	0.580173543319417	NA
30	0.703974560423278	0.478181983540768	0.681846026366335	0.687955300677098	0.748599924450176	0.328264244517863	0.43709636229204	0.67580651139564	0.394046349924963	0.574420119349718	NA
31	0.696969861661977	0.473423969635022	0.675061511293212	0.681109997006483	0.759908426594942	0.324997944460696	0.432747159182091	0.669082090799522	0.390125503726266	0.568704515228941	NA
32	0.69003486116464	0.468713298994198	0.668344503608849	0.674332805584291	0.770708248619075	0.321764144793814	0.428441231581445	0.662424579639151	0.386243670793182	0.563045782602331	NA
33	0.683168865418525	0.464049500542611	0.661694331600189	0.667623048678978	0.781022272020173	0.318562522131333	0.424178148889459	0.655833312151234	0.382400462935317	0.557443355586265	NA
34	0.676371187811449	0.459432107891848	0.655110330237813	0.660980055302529	0.790872349038215	0.315392756305106	0.419957484790034	0.649307629196913	0.378595495824824	0.551896673927754	NA
35	0.669641148563188	0.45486065929418	0.648591841109514	0.654403161143424	0.800279348953593	0.312254530332738	0.415778817209022	0.642846878195924	0.374828388958015	0.546405182948463	NA
36	0.662978074657475	0.450334697596364	0.642138212354433	0.647891708500191	0.809263202302742	0.30914753038588	0.411641728272003	0.636450413061328	0.371098765617297	0.540968333489223	NA
37	0.656381299774707	0.445853770193936	0.635748798597855	0.641445046215627	0.81784294310481	0.306071445758839	0.407545804262499	0.630117594134882	0.367406252833499	0.535585581855123	NA
38	0.649850164225303	0.441417428985937	0.629422960886695	0.635062529611684	0.82603674918888	0.303025968837512	0.4034906355806	0.623847788123082	0.363750481348573	0.530256389761131	NA
39	0.64338401488373	0.437025230330114	0.623160066625584	0.628743520425002	0.833869627065185	0.300010795068626	0.399475816702004	0.617640368033834	0.360131085578669	0.524980224278267	NA
40	0.636982205123201	0.43267673499855	0.616959489513614	0.622487386743076	0.841342519324779	0.297025622929276	0.395500946137462	0.611494713113746	0.356547703577573	0.519756557780309	NA
41	0.630644094751004	0.428371508133737	0.610820609481706	0.616293502941071	0.848479265232945	0.294070153896774	0.39156562639263	0.60541020878606	0.352999977000515	0.514584867891032	NA
42	0.62436904994448	0.4241091192051	0.6047428126306	0.61016124961925	0.85529498535688	0.291144092418799	0.387669463928318	0.599386246589189	0.349487551068333	0.509464637431963	NA
43	0.618156443187645	0.419889141965928	0.598725491169468	0.604090013541034	0.86180412010899	0.288247145883837	0.383812069121138	0.593422224115868	0.346010074531997	0.50439535437067	NA
44	0.61200565320843	0.41571115441076	0.592768043355134	0.598079187571688	0.868020460341672	0.285379024591926	0.379993056224536	0.587517544952919	0.342567199637474	0.499376511769555	NA
45	0.605916064916565	0.411574738733182	0.586869873431894	0.592128170617593	0.873957176565889	0.282539441725676	0.376212043330222	0.581671618621595	0.339158582090964	0.494407607735153	NA
46	0.599887069342054	0.407479481284043	0.581030391571942	0.586236367566147	0.879626846855427	0.279728113321595	0.372468652329972	0.575883860518548	0.335783881024465	0.489488145367953	NA
47	0.593918063574289	0.40342497253009	0.575249013816383	0.580403189226238	0.885041483495951	0.27694475824169	0.368762508877825	0.570153691857356	0.33244275896168	0.484617632712699	NA
48	0.588008450701748	0.399410807013013	0.56952516201685	0.574628052269341	0.890212558435356	0.274189098145348	0.365093242352642	0.564480539610649	0.32913488178428	0.479795582709193	NA
49	0.582157639752306	0.395436583308902	0.563858263777662	0.568910379171174	0.895151027589284	0.271460857461508	0.361460485821041	0.558863836452799	0.325859918698481	0.475021513143598	NA
50	0.576365045634147	0.3915019039881	0.558247752398608	0.563249598153942	0.899867354053331	0.268759763361101	0.35786387600071	0.553303020703193	0.322617542201971	0.470294946600204	NA
51	0.570630089077235	0.387606375575462	0.552693066818262	0.557645143129165	0.904371530271134	0.266085545729764	0.354303053224074	0.547797536270061	0.319407428051155	0.465615410413691	NA
52	0.564952196575403	0.383749608511005	0.547193651557884	0.552096453641065	0.908673099205275	0.263437937140831	0.350777661402325	0.542346832594866	0.316229255228734	0.46098243662186	NA
53	0.559330800328993	0.379931217110949	0.541748956665867	0.546602974810522	0.912781174555886	0.260816672828588	0.347287347989818	0.536950364597249	0.313082705911598	0.456395561918839	NA
