#"time"	"Top model:M_0.C2"	"Top model:M_1.C2"	"Top model:M_2.C2"	"Top model:M_3.C2"	"Top model:M_4.C2"	"Top model:Controleur.acc"	
0	0	0	0	0	0	0
1	0.0768127527587211	0.0694045133624912	0.0619368855441852	0.0544093936952062	0.0468215584019263	0.30938510376253
2	0.147861665027459	0.13411674090671	0.120150224881183	0.105958546322709	0.0915380770969523	0.599625254235013
3	0.213379690927425	0.194270963800608	0.174698202394488	0.15465014199888	0.134115244539435	0.871114243660836
4	0.27386025807022	0.250246181621977	0.225864373223362	0.200689879106591	0.174696934635293	1.12535762665744
5	0.329637050535373	0.302282480528191	0.273811922934717	0.244179858158858	0.213338910309567	1.36325022246671
6	0.0256913406306177	0.323441997064448	0.318833348203428	0.285343596818939	0.250207600225837	1.20351788294327
7	0.00939233600797302	0.0109156146205527	0.09733786384621	0.324265461669798	0.28534835378685	0.727259629931384
8	0.00857488180636283	0.00822726430692758	0.00836322846503853	0.0810781974523434	0.318842154723098	0.42508572675377
9	0.00791495404711173	0.00764286144857681	0.00729285397515904	0.00733417174860269	0.310749415080102	0.340934256299552
10	0.0073063958601738	0.00711181482287443	0.00683704728649262	0.00647342710196297	0.00802387648197965	0.0357525615534835
11	0.00674463183961196	0.00661774569533098	0.00641314696735492	0.00611779953847559	0.00573040107420174	0.0316237251149752
12	0.00622605997683256	0.00615800086401876	0.00601555143512908	0.00578458939397845	0.00544907414667481	0.0296332758166337
13	0.00574735934563646	0.00573019520697841	0.00564260576344216	0.00546954694458214	0.0051936057999115	0.0277833130605507
14	0.00530546438209653	0.00533210985761264	0.00529278157639236	0.00517166258131196	0.00495019489696288	0.0260522132943764
15	0.0048975452232799	0.00496168010105943	0.00496464541204224	0.0048900017004296	0.00471819256962048	0.0244320650064317
16	0.00452098958481623	0.00461698466135344	0.00465685267974209	0.00462368073211913	0.00449706357123243	0.0229155712292633
17	0.00417338603201822	0.00429623573648342	0.00436814214932981	0.00437186422873627	0.00428629829440015	0.0214959264409679
18	0.00385250853723272	0.0039977697257557	0.00409733078303186	0.00413376224308287	0.0040854110193384	0.0201667823084416
19	0.00355630222452094	0.00372003860133862	0.00384330888777423	0.00390862785033857	0.00389393879066634	0.0189222163546387
20	0.00328287021038432	0.00346160187924119	0.0036050355680374	0.00369575480496157	0.00371144035047703	0.0177567028131015
21	0.0030304614562618	0.00322111914807933	0.00338153446061976	0.00349447532519972	0.00353749512143508	0.0166650855115957
22	0.00279745955500728	0.00299734311688026	0.00317188973383253	0.0033041579982622	0.00337170223753391	0.0156425526415162
23	0.00258237237953686	0.00278911314586622	0.00297524233473234	0.00312420579958054	0.00321367962027867	0.0146846132799946
24	0.00238382252735644	0.00259534922666464	0.00279078646901378	0.00295405421994537	0.00306306309816619	0.0137870755411464
25	0.00220053849977717	0.00241504638072213	0.00261776629913781	0.00279316949464362	0.00291950556743234	0.0129460262417131
26	0.00203134655933114	0.00224726944686921	0.00245547284716601	0.00264104692904112	0.00278267619213308	0.0121578119745406
27	0.00187516321324271	0.00209114823100075	0.00230324108960964	0.00249720931535789	0.00265225964171542	0.0114190214909264
28	0.00173098827482029	0.00194587299271552	0.00216044723238902	0.00236120543566954	0.00252795536432144	0.0107264692999158
29	0.00159789845833408	0.00181069024550576	0.00202650615473713	0.00223260864643873	0.00240947689415064	0.0100771803991663
30	0.00147504146636204	0.00168489884871382	0.00190086901157324	0.00211101554013642	0.00229655119128425	0.00946837605806977
31	0.00136163053173971	0.00156784637098667	0.00178302098452207	0.00199604467975429	0.00218891801245028	0.00889746057945302
32	0.00125693937916095	0.00145892570636659	0.00167247917236277	0.00188733540223864	0.00208632931127912	0.00836200897140807
33	0.00116029757416454	0.00135757192546762	0.00156879061226398	0.00178454668709244	0.00198854866666781	0.00785975546565639
34	0.00107108622972001	0.0012632593454041	0.00147153042369472	0.00168735608659448	0.00189535073793404	0.00738858282334736
35	0.000988734042921606	0.00117549880327785	0.00138030006740938	0.00159545871428353	0.00180652074550773	0.00694651237340009
36	0.000912713636405961	0.00109383511907892	0.00129472571236868	0.00150856628853054	0.00172185397595965	0.00653169473234376
37	0.000842538181066192	0.00101784473484282	0.00121445670390699	0.00142640622820051	0.00164115531022856	0.00614240115824507
38	0.00077775827843399	0.000947133517819058	0.00113916412686847	0.00134872079756675	0.00156423877395891	0.00577701549464717
39	0.000717959082764797	0.000881334716256931	0.00106853945782441	0.00127526629779506	0.00149092710891311	0.00543402666355431
40	0.000662757644396091	0.000820107057205928	0.00100229330084894	0.00120581230246168	0.00142105136447053	0.00511202166938316
41	0.00061180045736583	0.000763132976464863	0.000940154201672669	0.00114014093470664	0.00135445050827178	0.00480967907848178
42	0.000564761195586215	0.000710116971499109	0.000881867535355294	0.00107804618375508	0.00129097105511118	0.00452576294130687
43	0.000521338623075349	0.000660784068783174	0.000827194462918952	0.00101933325866237	0.00123046671322187	0.00425911712666171
44	0.000481254664864114	0.000614878397619306	0.000775910952667167	0.000963817977255888	0.00117279804713873	0.00400866003954521
45	0.000444252626224465	0.000572161863035087	0.000727806862178982	0.000911326188356347	0.00111783215636198	0.00377337969615686
46	0.000410095548815223	0.00053241291087684	0.000682685077216633	0.000861693225466379	0.00106544236908083	0.0035523291314559
47	0.000378564693218233	0.000495425378693873	0.000640360704018296	0.000814763390212499	0.00101550795025168	0.00334462211639458
48	0.000349458138147182	0.000461007426453534	0.000600660311666201	0.000770389463920032	0.000967913823357759	0.00314942916354471
49	0.000322589487358493	0.000428980541541118	0.000563421221425588	0.000728432245788806	0.000922550305209176	0.00296597380132318
50	0.000297786675983452	0.000399178612883927	0.00052849084014246	0.00068876011622091	0.000879312853172221	0.00279352909840297
51	0.000274890868637412	0.000371447069397349	0.000495726034968618	0.000651248623930605	0.000838101824245304	0.00263141442117929
52	0.000253755442249638	0.000345642078284386	0.000464992546851832	0.00061578009554124	0.000798822245426377	0.00247899240835347
53	0.000234245047099924	0.000321629799030533	0.000436164440387808	0.000582243266444402	0.00076138359484261	0.00233566614780528
54	0.000216234740048906	0.00029928568922476	0.000409123587779629	0.000550532931763372	0.000725699593137937	0.0022008765419546
55	0.000199609184411366	0.000278493858606168	0.000383759184790148	0.000520549616325901	0.000691688004637702	0.00207409984877128
56	0.000184261911348562	0.000259146467986002	0.000359967296703815	0.000492199262611072	0.00065927044783219	0.00195484538648164
57	0.000170094638049591	0.000241143169927455	0.000337650432437491	0.000465392935691283	0.000628372214742275	0.0018426533908481
58	0.000157016638335479	0.000224390588282309	0.000316717145055073	0.000440046544243806	0.000598922098750917	0.00173709301466758
59	0.000144944161655388	0.000208801833884941	0.000297081657048985	0.000416080576756683	0.00057085223050374	0.00163776045984974
60	0.000133799896754229	0.00019429605389181	0.000278663508853062	0.0003934198521015	0.000544097921500506	0.00154427723310111
61	0.000123512476577058	0.000180798012429008	0.000261387229146551	0.000371993283690525	0.000518597515017035	0.00145628851686018
62	0.000114016021239688	0.000168237700372861	0.000245182025598258	0.00035173365647842	0.000494292244014009	0.00137346164770324
63	0.000105249716138747	0.00015654997223967	0.00022998149478359	0.000332577416108952	0.00047112609570522	0.00129548469497618
64	9.71574224994166e-05	0.000145674208301261	0.000215723350085866	0.000314464469545276	0.000449045682473128	0.00122206513290495
65	8.96873178667859e-05	0.000135554000173824	0.000202349166466799	0.000297337996558242	0.000428000118834118	0.00115292859989977
