#"time"	"Top model:M_0.C1"	"Top model:M_0.C2"	"Top model:M_0.C3"	"Top model:M_1.C1"	"Top model:M_1.C2"	"Top model:M_1.C3"	"Top model:M_2.C1"	"Top model:M_2.C2"	"Top model:M_2.C3"	"Top model:M_3.C1"	"Top model:M_3.C2"	"Top model:M_3.C3"	"Top model:M_4.C1"	"Top model:M_4.C2"	"Top model:M_4.C3"	
0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
1	0.923187247241279	0.074528401045501	0.00228435171322019	0.930595486637506	0.0673431651908726	0.00206134817161877	0.938063114455815	0.0600997287494277	0.00183715679475739	0.945590606304793	0.0527976232299555	0.00161177046525065	0.953178441598073	0.0454363763816781	0.00138518202024818
2	0.852138334972542	0.139115634836304	0.00874603019115557	0.865883259093288	0.126203907529961	0.00791283337674888	0.879849775118819	0.113079497004785	0.00707072787639707	0.894041453677293	0.099738939939443	0.00621960638326596	0.908461922903047	0.0861787168857241	0.00535936021122795
3	0.786620309072578	0.194581566845277	0.0187981240821483	0.805729036199392	0.177219987507014	0.0170509762935945	0.825301797605514	0.159422450854101	0.015275751540386	0.845349858001121	0.141178201041168	0.0134719409577117	0.865884755460565	0.122476218706681	0.0116390258327538
4	0.726139741929784	0.241929820840084	0.0319304372301358	0.749753818378023	0.22121027257067	0.0290359090513073	0.774135626776639	0.199785125810593	0.0260792474127676	0.799310120893408	0.177630932550505	0.0230589465560863	0.825303065364708	0.154723472899624	0.0199734617356685
5	0.670362949464633	0.281972219906675	0.0476648306286981	0.69771751947181	0.258830909816923	0.0434515707112676	0.726188077065282	0.234686838016224	0.0391250849184934	0.755820141841142	0.209497923597835	0.0346819345610228	0.786661089690432	0.18322034099654	0.0301185693130266
6	0.618821016326706	0.315558548873958	0.0656204347993435	0.649246025488599	0.290787768339542	0.0599662061718595	0.681166651796573	0.264704027977889	0.0541293202255399	0.714656403181061	0.237240494902201	0.0481031019167369	0.749792399774163	0.208326984915891	0.0418806153099454
7	0.571241967584037	0.343343991359944	0.0854140410560239	0.604141919686703	0.317616274423905	0.0782418058893941	0.638936416299824	0.290264785987137	0.0707987977130402	0.675734538330201	0.261192020686545	0.0630734409832522	0.714651646213151	0.230294723156521	0.0550536306303282
8	0.527312673394602	0.0174829271968325	0.455204399408572	0.562171264503403	0.339842071357009	0.0979866641395897	0.599324325401622	0.311796549247176	0.0888791253512026	0.638932449579752	0.281691757902552	0.0793757925176949	0.681157845276901	0.249384942189323	0.069457212533775
9	0.486769390719794	0.00797422790123887	0.505256381378975	0.523105075140873	0.0408676557275216	0.436027269131609	0.562168062196626	0.329691452498768	0.108140485304606	0.604134688948691	0.299052753592464	0.0968125574588447	0.64923380872463	0.26584012298732	0.0849260682880482
