#"time"	"Top model:Controleur.acc"	"Top model:M_0.C2"	"Top model:M_1.C2"	"Top model:M_2.C2"	"Top model:M_3.C2"	"Top model:M_4.C2"	
0	NA	0	0	0	0	0
1	0.282340156956868	0.0768127527587211	0.0694045133624912	0.0619368855441852	0.0544093936952062	0.0468215584019263
2	0.57430479414764	0.147861665027459	0.13411674090671	0.120150224881183	0.105958546322709	0.0915380770969523
3	0.847403794613659	0.213379690927425	0.194270963800608	0.174698202394488	0.15465014199888	0.134115244539435
4	1.10315204289907	0.27386025807022	0.250246181621977	0.225864373223362	0.200689879106591	0.174696934635293
5	1.34268181677562	0.329637050535373	0.302282480528191	0.273811922934717	0.244179858158858	0.213338910309567
6	1.22819742311144	0.0278555831725976	0.350753974511401	0.318833348203428	0.285343596818939	0.250207600225837
7	0.843618177671688	0.00940688435380108	0.0112299266679139	0.142023621570284	0.324265461669798	0.28534835378685
8	0.475914319865028	0.00857511481040126	0.00822953187200579	0.00866071423322305	0.0878729697949007	0.318842154723098
9	0.378675732055778	0.0079150813253749	0.00764304044258182	0.00729447628625358	0.00737643215424311	0.350766191275369
10	0.0377122553816756	0.00730592824695914	0.00711145646759243	0.00683675394889167	0.00647345645120948	0.00841018697388082
11	0.0318184432114803	0.0067442001758631	0.00661741215330688	0.00641285973836079	0.00611756159995082	0.00573278082138628
12	0.0298045539140325	0.00622566150222022	0.00615769049311767	0.00601528193308559	0.0057843626462556	0.00544890817071949
13	0.027943511511973	0.00574699150838519	0.00572990639801079	0.00564235296916099	0.00546933253430893	0.00519343140577387
14	0.0262021344395163	0.00530512482660372	0.00533184111264188	0.00529254445457487	0.00517145984824713	0.00495002856843499
15	0.0245723857314405	0.00489723177505708	0.00496143002620926	0.00496442299104745	0.00488981000868273	0.00471803403574627
16	0.0230469223755796	0.00452070023656395	0.00461675195958229	0.00465664404816427	0.00462349948035465	0.00449691246740981
17	0.0216188964374624	0.00417311893077151	0.00429601920085713	0.00436794645226755	0.00437169284836825	0.00428615427240733
18	0.0202819200826912	0.00385226197249479	0.0039975682331877	0.00409714721858503	0.0041336001964919	0.00408527374726912
19	0.0190300340380865	0.00355635912603938	0.00371985110676486	0.00384313670375802	0.00390847462918522	0.00389380795216981
20	0.0178588126446357	0.00328292273693803	0.00346167665091861	0.00360510478560642	0.0036958168943379	0.00371149379573118
21	0.0167607271504736	0.00303050994422698	0.00322118872525496	0.00338159938691258	0.00349453403304291	0.0035375460618539
22	0.0157321469194094	0.00279750431489731	0.002997407860424	0.00317195063489506	0.00330421350873849	0.00337175079051228
23	0.0147685529854879	0.00258241369799078	0.00278917339157781	0.00297529946011647	0.00312425828682602	0.0032137258977095
24	0.0138657273279017	0.0023838606689746	0.00259540528701531	0.00279084005279994	0.00295410384861228	0.00306310720669827
25	0.0130197324044497	0.00220057370881569	0.00241509854647525	0.00261781656089418	0.00279321642041686	0.00291954760871614
26	0.0122268921021275	0.00203137906126612	0.00224731798858835	0.00245551999284822	0.00264109129912663	0.00278271626305495
27	0.0114837740052216	0.00187519321621417	0.00209119340045306	0.00230328531240469	0.00249725126894442	0.00265229783462093
28	0.010787172888371	0.00173101597096504	0.0019459150241775	0.00216048871350692	0.00236124510436529	0.00252799176722818
